# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	997
#@/user_id	47f654cc-0104-4fdb-9a56-97378a68a2be
a 	啊	c=7 d=3.18802 t=996
wen 	問	c=1 d=1 t=200
wen hao 	問好	c=1 d=1 t=962
wen hao 	問號	c=3 d=2.98506 t=967
wen zhang 	文章	c=1 d=1 t=786
wo 	我	c=89 d=19.5866 t=923
wo ma 	我媽	c=1 d=1 t=849
wo men 	我們	c=13 d=5.91384 t=461
wu 	污	c=1 d=1 t=813
xi 	系	c=0 d=0.1 t=377
xi huan 	喜歡	c=1 d=1 t=804
xi huan ni 	喜歡你	c=1 d=1 t=640
xia 	下	c=2 d=1.32303 t=238
xia zai 	下載	c=1 d=1 t=37
xian zai 	現在	c=4 d=2.283 t=565
xiang 	像	c=1 d=1 t=425
xiang 	想	c=12 d=3.13642 t=899
xiang qi 	想起	c=0 d=0.1 t=870
xiang qi le 	想起了	c=1 d=1 t=871
xiang xiang 	想想	c=1 d=1 t=101
xiao le 	笑了	c=1 d=1 t=581
xiao si wo 	笑死我	c=1 d=1 t=38
xin li 	心裏	c=1 d=1 t=394
xiu xiu 	羞羞	c=1 d=1 t=645
xue mei 	學妹	c=1 d=1 t=232
xue meng 	血盟	c=0 d=0.1 t=867
xue meng da kou 	血盟大口	c=1 d=1 t=868
xue zhang 	學長	c=1 d=1 t=230
yan jing 	眼睛	c=1 d=1 t=407
yan jiu suo 	研究所	c=1 d=1 t=854
yao 	要	c=5 d=2.48941 t=800
ye 	也	c=8 d=1.35213 t=916
ye shi 	也是	c=1 d=1 t=598
yi da li 	意大利	c=1 d=1 t=302
yi ding 	一定	c=1 d=1 t=572
yi ge 	一個	c=2 d=1.04663 t=855
yi hou 	以後	c=7 d=3.62898 t=665
yi jing 	已經	c=2 d=1.47951 t=321
yi kai shi 	一開始	c=1 d=1 t=311
yi nian 	一年	c=1 d=1 t=864
yi qi 	一起	c=1 d=1 t=659
yi qian 	以前	c=1 d=1 t=690
yi wei 	以爲	c=3 d=2.58274 t=316
yi yang 	一樣	c=1 d=1 t=694
yi zhi 	一直	c=3 d=1.18433 t=736
yin 	銀	c=1 d=1 t=875
yin 	音	c=1 d=1 t=952
yin wei 	因爲	c=6 d=3.67767 t=314
you 	有	c=1 d=1 t=436
you ge 	有個	c=1 d=1 t=566
you qian le 	有錢了	c=1 d=1 t=571
you yao 	又要	c=1 d=1 t=377
yu 	與	c=1 d=1 t=936
yu ding 	預訂	c=1 d=1 t=447
yuan 	員	c=1 d=1 t=856
yuan lai 	原來	c=1 d=1 t=710
yue 	越	c=2 d=1.9802 t=141
zai 	再	c=2 d=1.94176 t=680
zai 	在	c=3 d=1.89527 t=336
zai yi kuai 	在一塊	c=1 d=1 t=59
zai yi qi 	在一起	c=5 d=1.74235 t=475
zen me 	怎麼	c=4 d=2.06107 t=758
zha 	炸	c=1 d=1 t=687
zhao 	找	c=1 d=1.0657 t=246
zhao ge 	找個	c=2 d=1.41271 t=326
zhao wo 	找我	c=3 d=2.78856 t=604
zhao yi ge 	找一個	c=2 d=1.36972 t=362
zhe 	着	c=1 d=1 t=320
zhe 	這	c=1 d=1 t=637
zhe ge 	這個	c=2 d=1.85214 t=789
zhe me 	這麼	c=1 d=1 t=737
zhe ren 	這人	c=1 d=1 t=703
zhe yang 	這樣	c=5 d=1.66696 t=707
zhen de 	真的	c=7 d=2.28949 t=778
zhen hao 	真好	c=1 d=1.09802 t=984
zhen ta ma 	真他媽	c=1 d=1 t=992
zhen xi 	珍惜	c=1 d=1 t=904
zhi 	值	c=1 d=1 t=164
zhi dao 	知道	c=4 d=1.8721 t=903
zhi dao le 	知道了	c=1 d=1 t=418
zhi hou 	之後	c=1 d=1 t=557
zhi jian 	之間	c=2 d=1.30575 t=351
zhi neng 	只能	c=1 d=1 t=303
